platform,host,cpu,cpu_threads,gpu,gpu_arch,cuda,compiler,lib,op,kernel,prec,base,ncomp,prec_bits,dim,nnz,cpu_time,gpu_time,speedup,cpu_kind,relerr,fma,tree,date
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,qs,binary32,4,96,1024,0,0.00133323,0.000459397,2.9021,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matmul,C = A*B,dd,binary64,2,106,128,0,0.003059246,0.013430435,0.2278,omp,9.694690e-32,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matmul,C = A*B,dd,binary64,2,106,256,0,0.009989025,0.053664728,0.1861,omp,1.983690e-31,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matmul,C = A*B,dd,binary64,2,106,512,0,0.050202357,0.214793745,0.2337,omp,4.096600e-31,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matmul,C = A*B,dd,binary64,2,106,1024,0,0.227869571,0.919069249,0.2479,omp,8.237112e-31,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matmul,C = A*B,td,binary64,3,159,128,0,0.006906877,0.066299435,0.1042,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matmul,C = A*B,td,binary64,3,159,256,0,0.028279979,0.265465039,0.1065,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matmul,C = A*B,td,binary64,3,159,512,0,0.128791324,1.06763291,0.1206,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matmul,C = A*B,td,binary64,3,159,1024,0,0.677888303,4.49311754,0.1509,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matmul,C = A*B,qd,binary64,4,212,128,0,0.00997286,0.138519599,0.0720,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
